Sun Aug 30 04:19:48 UTC 2026
CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
0576f3367c19   scli-prod-auth-service-1                     0.14%     452MiB / 15.61GiB     2.83%     3.11MB / 9.33MB   16MB / 983kB      60
3cb20fc11b9c   scli-prod-academico-laboratorios-service-1   1.51%     371.3MiB / 15.61GiB   2.32%     679kB / 6.9MB     8.76MB / 983kB    50
c0805c9ec749   scli-prod-grafana-1                          0.06%     72.66MiB / 15.61GiB   0.45%     9.55MB / 370kB    60MB / 51.8MB     14
2324092124cc   scli-prod-otel-collector-1                   12.38%    62.45MiB / 15.61GiB   0.39%     249MB / 51.1MB    25.7MB / 0B       11
495ee3ba8ca7   scli-prod-loki-1                             1.49%     126.1MiB / 15.61GiB   0.79%     7.13MB / 1.21MB   37MB / 33.3MB     11
2d83c1dc2d55   scli-prod-prometheus-1                       0.03%     59.43MiB / 15.61GiB   0.37%     265MB / 10.1MB    23MB / 49.1MB     10
69c324771ab1   scli-prod-cadvisor-1                         2.08%     53.09MiB / 15.61GiB   0.33%     1.01MB / 26.7MB   11.1MB / 0B       14
01661e648d22   scli-prod-tempo-1                            4.20%     164.4MiB / 15.61GiB   1.03%     31.1MB / 1.78MB   41.5MB / 141MB    10
f2dc97a92823   scli-cockroach-academico                     80.52%    868.7MiB / 15.61GiB   5.43%     2.82MB / 2.67MB   108MB / 2.94GB    31
c93632dac88b   reservas-db-node-3                           15.68%    1.005GiB / 15.61GiB   6.44%     1.39GB / 2.02GB   334MB / 15.3GB    17
4dc514e39488   reservas-db-node-2                           12.85%    803.1MiB / 15.61GiB   5.02%     1.59GB / 857MB    383MB / 15.6GB    17
259331a8e4eb   reservas-db-node-1                           25.05%    1.168GiB / 15.61GiB   7.48%     1.64GB / 1.74GB   371MB / 15.4GB    17
96900f6ec51b   scli-cockroach-auth                          7.65%     727.6MiB / 15.61GiB   4.55%     3.18MB / 4.63MB   103MB / 2.91GB    16
46fef70e501f   scli-cockroach-usuarios                      2.20%     665MiB / 15.61GiB     4.16%     2.22MB / 2.41MB   304MB / 2.33GB    13
Sun Aug 30 04:29:15 UTC 2026
CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
878e3cee1c6e   priceless_leavitt                            29.17%    47.66MiB / 15.61GiB   0.30%     0B / 0B           4.95MB / 668kB    2
3cc254b71af8   scli-prod-web-1                              4.09%     5.488MiB / 15.61GiB   0.03%     280kB / 1.04MB    6.75MB / 8.19kB   5
f3a67e7faad7   scli-prod-api-gateway-1                      39.33%    355.9MiB / 15.61GiB   2.23%     50.7MB / 200MB    6.4MB / 913kB     122
6f3089c4713d   scli-prod-reservas-solicitudes-service-1     30.04%    541.8MiB / 15.61GiB   3.39%     50.6MB / 141MB    44.2MB / 971kB    91
c7c86a0d6fde   scli-prod-usuarios-service-1                 0.18%     372.1MiB / 15.61GiB   2.33%     873kB / 7.78MB    6.84MB / 983kB    49
0576f3367c19   scli-prod-auth-service-1                     55.84%    453MiB / 15.61GiB     2.83%     3.43MB / 9.8MB    16MB / 1.01MB     60
3cb20fc11b9c   scli-prod-academico-laboratorios-service-1   4.91%     371.7MiB / 15.61GiB   2.32%     695kB / 7.12MB    8.76MB / 1.01MB   50
c0805c9ec749   scli-prod-grafana-1                          0.09%     72.66MiB / 15.61GiB   0.45%     9.55MB / 371kB    60MB / 51.8MB     14
