reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:10.004760205Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-167","level":"WARN","level_value":30000,"trace_id":"773bffbc58bf781af958cb682efe4870","span_id":"af2a79fcd77c1478","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:10.006130547Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-167","level":"ERROR","level_value":40000,"trace_id":"773bffbc58bf781af958cb682efe4870","span_id":"af2a79fcd77c1478","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:10.003609584Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-157","level":"WARN","level_value":30000,"trace_id":"4efb208a7ae46fc4c68b3261dd415514","span_id":"3447ee8621123d39","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:10.120744649Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-157","level":"ERROR","level_value":40000,"trace_id":"4efb208a7ae46fc4c68b3261dd415514","span_id":"3447ee8621123d39","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:09.98119353Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-152","level":"ERROR","level_value":40000,"trace_id":"dc169f796f2af29ef17e1289211b34e0","span_id":"a63455fc5762a616","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:10.135190714Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-171","level":"WARN","level_value":30000,"trace_id":"841e07f8eb25aa83bdca604d1ad44cd5","span_id":"fd61f27f5f5b360d","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:10.272771238Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-171","level":"ERROR","level_value":40000,"trace_id":"841e07f8eb25aa83bdca604d1ad44cd5","span_id":"fd61f27f5f5b360d","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:10.282796053Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-136","level":"WARN","level_value":30000,"trace_id":"9aafe743bc543e511bbedf92ba1d95ab","span_id":"da90dc0cd2d51459","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:10.283307266Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-136","level":"ERROR","level_value":40000,"trace_id":"9aafe743bc543e511bbedf92ba1d95ab","span_id":"da90dc0cd2d51459","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:10.443958656Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-166","level":"WARN","level_value":30000,"trace_id":"87f1868b7728c5a6dba3c096f99b9f3d","span_id":"c3507cec651960e5","service":"reservas-solicitudes-service"}
