run_id,scenario,strategy,repetition,excluded_from_analysis,valid,requests,latency_ms,double_allocation_rate,unnecessary_rejections,jain_users,jain_equipment,recovery_ms
esc3-s4-r04-31c5d571,esc3,s4,4,False,True,200,471.6173594,0.0,0,1.0,1.0,
esc3-s4-r05-f5d56c70,esc3,s4,5,False,True,200,3158.385147815,0.0,0,1.0,1.0,
esc3-s4-r06-5a68a875,esc3,s4,6,False,True,200,543.209900525,0.0,0,1.0,1.0,
esc3-s4-r07-a3b38668,esc3,s4,7,False,True,200,2417.930234065,0.0,0,1.0,1.0,
esc3-s4-r08-5d69bf7e,esc3,s4,8,False,True,200,1001.481493825,0.0,0,1.0,1.0,
esc3-s4-r09-c3891e1a,esc3,s4,9,False,True,200,2966.15040813,0.0,0,1.0,1.0,
esc3-s4-r10-6ca6d47c,esc3,s4,10,True,True,200,595.548634505,0.0,0,1.0,1.0,
esc4-s3-r01-e1abc1ae,esc4,s3,1,True,True,200,3218.025427265,0.0,0,1.0,1.0,
esc4-s3-r02-1279a6c8,esc4,s3,2,False,True,200,3263.217895605,0.0,0,1.0,1.0,
esc4-s3-r03-223ec15d,esc4,s3,3,False,True,200,1201.6732368149999,0.0,0,1.0,1.0,
esc4-s3-r04-3008f5e7,esc4,s3,4,False,True,200,3649.151896875,0.0,0,1.0,1.0,
esc4-s3-r05-ba63030d,esc4,s3,5,False,True,200,1501.243309615,0.0,0,1.0,1.0,
esc4-s3-r06-04adf879,esc4,s3,6,False,True,200,3355.980516905,0.0,0,1.0,1.0,
esc4-s3-r07-08aeb764,esc4,s3,7,False,True,200,1300.954369665,0.0,0,1.0,1.0,
esc4-s3-r08-d280a49b,esc4,s3,8,False,True,200,3090.1846875499996,0.0,0,1.0,1.0,
esc4-s3-r09-e9d7e3c3,esc4,s3,9,False,True,200,1390.273410905,0.0,0,1.0,1.0,
esc4-s3-r10-9317289a,esc4,s3,10,True,True,200,2797.3040980849996,0.0,0,1.0,1.0,
esc4-s4-r01-b8a595b0,esc4,s4,1,True,True,200,4328.52857992,0.0,0,1.0,1.0,5771.138747000805
esc4-s4-r02-16953626,esc4,s4,2,False,True,200,1156.849045795,0.0,0,1.0,1.0,1309.0607279991673
esc4-s4-r03-9e64a07c,esc4,s4,3,False,True,200,3795.1895685249997,0.0,0,1.0,1.0,5949.680018002255
esc4-s4-r04-29c4ec81,esc4,s4,4,False,True,200,939.52935354,0.0,0,1.0,1.0,1116.7463989986572
esc4-s4-r05-ada9bbcf,esc4,s4,5,False,True,200,3280.64830764,0.0,0,1.0,1.0,5066.942033001396
esc4-s4-r06-5e8d9517,esc4,s4,6,False,True,200,1287.5544042,0.0,0,1.0,1.0,1317.6273880017106
esc4-s4-r07-043382cb,esc4,s4,7,False,True,200,3470.177392735,0.0,0,1.0,1.0,5076.909542000067
esc4-s4-r08-d92a4f2d,esc4,s4,8,False,True,200,1004.9911811,0.0,0,1.0,1.0,1153.8603059998422
esc4-s4-r09-1e933110,esc4,s4,9,False,True,200,4200.914296195,0.0,0,1.0,1.0,5026.070698000694
esc4-s4-r10-19a529b3,esc4,s4,10,True,True,200,4474.305555755,0.0,0,1.0,1.0,6825.553082002443
